,Answer,Creation Date
0,"I put your code in to a fiddle, and it seems to work fine.

    https://jsfiddle.net/sparkmig/r471vzuo/3/

Have you tried to press ctrl + F5, to refresh you browser and clear the cache?

Another problem could be that you are using https in the script tag where you get the libary
 `&lt;script src=&quot;https://cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js&quot;&gt;&lt;/script&gt;`

while your website might be using http. Its due to moderen browser security, that it isn&#39;t possible.
If that is the case, just change the script sources protocol to http, instead of https.

I can see that you are probaly using asp.net, so you can via IIS create a self signed certificate to run https protocol, instead of http
",2020-11-16 11:46:17
1,"I had the same problem and for me the solution was to install version 2 of aws cli. 

From the quick read it might have been caused by `Python` and `aws` version dependency mismatch. ",2020-11-16 11:50:23
2," You can do it like this:
``` 
num = int(input(&quot;Give me the number of rows: &quot;)) 
for i in range(0,num):
    for j in range(0, i):
        print(end = &quot; &quot;)
    for j in range(0, num - i):
        print(&quot;*&quot;,end = &quot; &quot;)
    print()
```",2020-11-16 11:50:16
3,"You can use two ways:

1 - Use adapter.notifyItemChanged(updateIndex)

2 - Use DiffUtil [link][1]

I recommend you research DiffUtil

  [1]: https://developer.android.com/reference/androidx/recyclerview/widget/DiffUtil",2020-11-16 11:49:56
4,"Please do remember, docker container internal is a Linux (or similar kind of) environment. While we are running the below command on windows command prompt(C:/&gt;) it is missing bash shell

docker container commit --change=&#39;CMD [&quot;java&quot;,&quot;-jar&quot;,&quot;/tmp/hello-world-rest-api.jar&quot;]&#39; boring_archimedes advanceinfo/hello-world-rest-api:manual2

So, we are getting below error

/bin/sh: [java,-jar,/tmp/hello-world-rest-api.jar]: not found

Please use one command prompt in windows which support bash shell example Git Bash prompt($)
Note: don&#39;t change the above command, only change the command prompt, it will work 1000% 





",2020-11-16 11:49:56
5,"```javascript
&lt;form onSubmit={handleSubmit(onSubmit)}&gt;
```

This is a function call, which means this gets called immediatelt the form is created on the DOM, your event listeners need to take a reference to the function which will then get called when the event occurs, to do that you wrap this function call in another anonymous function. Then the function will get called when the submit event occurs. So you need to do this 

```javascript
&lt;form onSubmit={()=&gt;{handleSubmit(onSubmit)}}&gt;
```
Also since this is a submit event, you might want to stop the default behaviour which refreshes the page. Like this


```javascript
&lt;form onSubmit={(ev)=&gt;{
  ev.preventDefault()
  handleSubmit(onSubmit)}}&gt;
``` 
## Update
I did not look at the JSX properly. There are a few things you are probably doing wrong
1. using ref to get input values rather than state
2. when taking in any kind of input you want to convert those fields into control components [Officila docs on controlled components](https://reactjs.org/docs/forms.html#controlled-components)
I suggest you understand this and state first, that will help you a lot. React docs still uses class components in example code but simply use use state instead of this.state for state varibales
 ",2020-11-16 11:08:16
6,"Remove the `{}` around the comparisons inside the filter block:

    $filteredRows = $R |Where-Object {$_.db_sync_state -eq &#39;NOT SYNCHRONIZING&#39; -or -not $_.is_failover_ready}",2020-11-16 11:49:38
7,"Another important note that I have missed, and fixed the &quot;Bad Source&quot; Error instantly:

(Just thought I will share my mistake just in case someone encounters it.. :))


Make sure the the correct path is selected in the git Console when you run the command:

    - git mv Source Destination

If needed, use:

    - cd SourceFolder

And then the mv command.
",2020-11-16 11:38:53
8,"I had the same issue. I fixed it by removing the content type.

Please check this article

https://upmostly.com/tutorials/upload-a-file-from-a-react-component",2020-11-16 11:49:31
9,"Try this -

    sum(range(1, n+1, 2))

",2020-11-16 11:49:31
10,"Please add zIndex to parent view. In iOS, the zIndex doesn&#39;t work for nested parentView. You need to make the parentView has high zIndex, and then target View again.

    .container {
       zIndex:101
    }
    .info {
       zIndex:100
    }",2020-11-16 11:49:22
11,"It happend to me when kjar module, in this case &#39;com.tisl.mpl.ruleengine:rrt-kjar:1.0.0&#39;, was not inside /opt/jboss/.m2/repository folder.
So make sure that you have tree structure like this:
/opt/jboss/.m2/repository/com/tisl/mpl/ruleengine/rrt-kjar/1.0.0/

And inside this folder you should have two files: rrt-kjar-1.0.0.jar and rrt-kjar-1.0.0.pom",2020-11-16 11:49:19
12,"For some reason, we create the pv/pvc at pre-phase for such Statefulset pods. During the upgrade, we delete the old pv/pvc and using the new, delete the old deployments and create headless service also keep some old services for load balancing.
Because pv/pvc only bond once, have to delete the old pv. ",2020-11-16 11:14:32
13,"**(Disclosure: I&#39;m one of the authors of the library I&#39;m going to suggest)**

With [StyleFrame][1] (that wraps pandas) you can read an excel file into a dataframe without loosing the style data.

Consider the following sheet:

[![enter image description here][2]][2]

And the following code:

    from styleframe import StyleFrame, utils
    # from StyleFrame import StyleFrame, utils (if using version &lt; 3.X)

    sf = StyleFrame.read_excel(&#39;test.xlsx&#39;, read_style=True)
    print(sf)

    #          b  p                  y
    #     0  nan  3             1000.0
    #     1  3.0  4                2.0
    #     2  4.0  5  42902.72396767148

    sf = sf[[col for col in sf.columns
             if col.style.fill.fgColor.rgb in (&#39;FFFFFFFF&#39;, utils.colors.white)]]
             # &quot;white&quot; can be represented as &#39;FFFFFFFF&#39; or
             # &#39;00FFFFFF&#39; (which is what utils.colors.white is set to)
    print(sf)

    #          b
    #    0   nan
    #    1   3.0
    #    2   4.0


  [1]: https://github.com/DeepSpace2/StyleFrame
  [2]: https://i.stack.imgur.com/SQ96I.png",2017-07-01 17:51:12
14,"Basically, all you have to do is inside the `$Tab1CBB1_SelectedIndexChanged` scriptblock use the various lists with [script scoping](https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.core/about/about_scopes).

Without that, the variables are unknown inside the script block.

    $Tab1CBB1_SelectedIndexChanged = {
        $Tab1CBB2.Items.Clear() # Clear the list
        $Tab1CBB2.Text = $null  # Clear the current entry
        switch ($Tab1CBB1.Text) {
            &#39;QA14&#39;      { $script:ListQA14 | ForEach-Object { $Tab1CBB2.Items.Add($_) } }
            &#39;QA15&#39;      { $script:ListQA15 | ForEach-Object { $Tab1CBB2.Items.Add($_) } }
            &#39;ARIELDBQA&#39; { $script:ListDBQA | ForEach-Object { $Tab1CBB2.Items.Add($_) } }
        }
    }

Another method could be to dynamically get the items to enter in the combobox, especially since these are file lists and can change while your form is being used:

    $Tab1CBB1_SelectedIndexChanged = {
        $Tab1CBB2.Items.Clear() # Clear the list
        $Tab1CBB2.Text = $null  # Clear the current entry
        switch ($Tab1CBB1.Text) {
            &#39;QA14&#39;      { $path = $script:pathQA14 ; break }
            &#39;QA15&#39;      { $path = $script:pathQA15 ; break }
            &#39;ARIELDBQA&#39; { $path = $script:pathDBQA }
        }
        Get-ChildItem -Path $path -Name | ForEach-Object { $Tab1CBB2.Items.Add($_) }
    }",2020-11-16 11:33:49
15,"Use ```explode``` to explode map data.Try below code.

```
df.select(map(df.columns.flatMap(c =&gt; Seq(lit(c),col(c))):_*).as(&quot;map&quot;))
.select(explode($&quot;map&quot;))
.show(false)
```",2020-11-16 11:48:55
16,"    DECLARE @id INT
    DECLARE @filename NVARCHAR(100)
    DECLARE @getid CURSOR
    
    SET @getid = CURSOR FOR
    SELECT top 3 id,
    filename 
    FROM  table
    
    OPEN @getid
    WHILE 1=1
    BEGIN
    
        FETCH NEXT
        FROM @getid INTO @id, @filename
        IF @@FETCH_STATUS &lt; 0 BREAK
    
        print @id
    
    END
    
    
    CLOSE @getid
    DEALLOCATE @getid",2020-11-15 13:35:53
17,"In this case when using position: absolute ..

&gt; .. the containing block is formed by the padding edge of the ancestor.

See [CSS Specifications - 10.1 Definition of &quot;containing block&quot;][1]


  [1]: https://www.w3.org/TR/CSS21/visudet.html#containing-block-details

For whatever reason..
",2020-11-16 11:48:38
18,"Regarding questions 1 and 2, please check the description below:

We recommend that you host your source code on github and use Azure Devops for continuous integration/continuous deployment (CI/CD). This is because Azure DevOps Public Projects aren&#39;t generally discoverable to the general public. A project member needs to publicize the URL for it to be found.

You could use Azure DevOps for free and open-sourced projects. An Azure DevOps Services public project provides support to share code with others and to support continuous integration/continuous deployment (CI/CD) of open-source software. Users aren&#39;t required to sign in to gain read-only access to many of the services.

You could refer to this [document][1] to view more detailed information about public project.

Because here from what I can see, I cannot use Azure DevOps in these cases. Is that correct?

Your understanding is correct. The entry of the Code of Conduct is to build a better Azure Devops and let our users get a better experience.


  [1]: https://docs.microsoft.com/en-us/azure/devops/organizations/public/about-public-projects?view=azure-devops",2020-11-16 11:42:18
19,"OK, guys, that was chips. Read more here:

https://developer.android.com/reference/com/google/android/material/chip/ChipGroup",2020-11-16 11:48:33
