,Title,Content,Creation Date
0,Detecting Modal Sheet On Drag Down Event,"Is it possible to intercept the event when the bottom sheet is being drag down, and show a message when it is about to close?",2020-11-10 11:36:13
1,Azure AD: Web api call another web api. Grant Type Error,"I have this situation below:

I have two web app in Angular, each one access one API(C# .net Core). Two Clientes and two backends.

I would like to make these two web APIs connect to each other. Is this possible using Azure AD?
[![enter image description here][1]][1]

```
 var objetoTest = new Dictionary&lt;string, string&gt;
   {
      { &quot;grant_type&quot;, &quot;urn:ietf:params:oauth:grant-type:jwt-bearer&quot; },
      { &quot;client_id&quot;, &quot;f33ac250-31d8-426c-ab2f-5dwer344410&quot; },
      { &quot;client_secret&quot;, &quot;DrA4s6n.ArerettttaKXyztUzE-P-9N&quot; },
      { &quot;scope&quot;, &quot;https://tesst.com/dfdffdff-2ade-4fe9-9bcb-ea95fd5893ae/user_impersonation&quot; },
     { &quot;requested_token_use&quot;, &quot;on_behalf_of&quot; }
   };

    var content = new FormUrlEncodedContent(objetoTest);

  var result1 = await pegarToken.PostAsync(&quot;https://login.microsoftonline.com/
e7deed85-bee5-45c36ff03523/oauth2/v2.0/token&quot;, content);


 var test3 = result1.StatusCode;

```

I am getting the error below:

  &quot;error_description&quot;: &quot;AADSTS900144: The request body must contain the following parameter: &#39;grant_type&#39;.



  [1]: https://i.stack.imgur.com/er9Jq.png


Please let me know if you need further information to help me. 

Thanks",2020-11-12 00:13:36
2,python - applying fillna data from 1 dataframe to null values in another,"bear with me here, i&#39;m new to coding and stack overflow - so i may not be able to describe this succinctly.

i have 2 dataframes, df1 which is being read from a CSV, and has a column (named &#39;total_income&#39; with NaN values that i want to fill in with a mean based on categorical values in another column (named &#39;income type&#39;).

i created a second data frame with just those two columns, to do a groupby on the &#39;income_type&#39; column and then found the mean  of the &#39;total_income&#39; column for each unique value in the &#39;income type&#39; column

i used this:

    #groupby types of employment, calculate/fill in the mean
    df2 = df1[[&#39;income_type&#39;,&#39;total_income&#39;]]
    df2 = df2.sort_values(&#39;income_type&#39;).groupby(&#39;income_type&#39;).mean().reset_index()

my output is exactly what i am looking for:

                           income_type  total_income
    0                     business  32386.793835
    1                civil servant  27343.729582
    2                     employee  25820.841683
    3                 entrepreneur  79866.103000
    4  paternity / maternity leave   8612.661000
    5                      retiree  21940.394503
    6                      student  15712.260000
    7                   unemployed  21014.360500

  
however, now that i have these outputs, i am confused as to how to apply them back to df1 in the same associated columns - so, for all rows that have &#39;employee&#39; in df1&#39;s &#39;income_type&#39; i want to apply the value 25820.84 (index #2 from df2: *2  **employee  25820.841683***

I know i can do this one by one by setting variables for each income type,total_income pair, but if i could do it in a loop or function that would be much more tidy.

here is the first 10 columns of df1:

    children days_employed dob   education  	edu_id family_status family_sts_id gender income_type  debt  total_income
       1     -8437.673028   42  bachelor&#39;s degree      0       married  		0      F    employee     0     40620.102   
       1     -4024.803754   36  secondary education    1       married  		0      F    employee     0     17932.802   
       0     -5623.422610   33  Secondary Education    1       married  		0      M    employee     0     23341.752   
       3     -4124.747207   32  secondary education    1       married  		0      M    employee     0     42820.568   
       0  	  340266.072047 53  secondary education    1       civil partnership    1      F     retiree     0     25378.572   
       0     -926.185831    27  bachelor&#39;s degree      0       civil partnership    1      M    business     0     40922.170   
       0     -2879.202052   43  bachelor&#39;s degree      0       married  		0      F    business     0     38484.156   
       0     -152.779569    50  SECONDARY EDUCATION    1       married  		0      M    employee     0     21731.829   
       2     -6929.865299   35  BACHELOR&#39;S DEGREE      0       civil partnership    1      F    employee     0     15337.093   
       0     -2188.756445   41  secondary education    1       married  		0      M    employee     0     23108.150 

    
I asked another question the other day that i tried to figure out how to apply to this:[Link Here][1]

But i am still struggling with how to take it from one df to the other in a loop with a replace. any assistance would be greatly appreciated!


  [1]: https://stackoverflow.com/questions/64830587/regex-syntax-for-replacing-multiple-strings-where-have-i-gone-wrong",2020-11-15 18:19:04
3,Count total number of occurance of word between fixed strings in bash script,"Count total number of occurance of word between fixed strings in bash script

Suppose I have a file record.txt, find occurance of email ids between each start and end.
 
record.txt

This is test file
start
name amit
occupation business
dist nagpur
email amit@gmail.com
ph 783646828
end
start
name suraj
occupation dev
dist noida
email suraj@gmail.com
alt email sur_hcl@gmail.com
end.

ouput should be like:

between 1st start and end = 1 email id

between 2nd start and end = 2 email ids
",2020-11-15 18:43:34
4,What does netloc mean?,"I&#39;m learning to make login function with **Flask-login**, and I&#39;m facing with this code in my tutorial that I&#39;m following:

    @app.route(&#39;/login&#39;, methods = [&#39;GET&#39;, &#39;POST&#39;])
    def login():
        if current_user.is_authenticated:
            return redirect(url_for(&#39;index&#39;))
        form = LoginForm()
        if form.validate_on_submit():
            user = User.query.filter_by(username=form.username.data).first()
            if user is None or not user.check_password(form.password.data):
                flash(&#39;Invalid username or password&#39;)
                return redirect(url_for(&#39;login&#39;))
            login_user(user, remember=form.remember_me.data)
            next_page = request.args.get(&#39;next&#39;)
            if not next_page or url_parse(next_page).netloc != &#39;&#39;: # what is it means in this line..?
                next_page = url_for(&#39;index&#39;)
            return redirect(next_page)
        return render_template(&#39;login.html&#39;, title=&#39;Sign In&#39;, form=form)

But I&#39;m not sure what&#39;s the code above that I commented means..?, especially in **netloc** word, what is that..?, I know that is stand for **network locality**, but what is the purpose on that line..?",2019-01-01 04:30:21
5,How to send the Multipart file and json data to spring boot,"I have the POST request api call to accept the json body request parameters and multipart file from client side(postman or java client).

I want to pass both the json data and multipart file in single request.

I have written the code like below.

    @RequestMapping(value = &quot;/sendData&quot;, method = RequestMethod.POST, consumes = &quot;multipart/form-data&quot;)
    public ResponseEntity&lt;MailResponse&gt; sendMail(@RequestPart MailRequestWrapper request) throws IOException

But, i could not accomplish it using postman rest client.

I&#39;m using spring boot on server side. 

Could anyone suggest me on this question.

Thanks in advance,",2018-10-15 16:40:15
6,SQL Server: How to find and replace data in xml by XQuery,"I have XML stored in a SQL Server table. There is a `GroupKey` element in the XML and `GroupKey` has a few other data separated by `~` sign. `GroupKey` looks like 

    &lt;GroupKey&gt;Consensus Model~Total Revenue~TRIN~NBM~~1~ZB-P1&lt;/GroupKey&gt;

`GroupKey` has:

 1. Consensus Model is Section 
 2. Total Revenue is LineItem 
 3. TRIN is XFundCode

and rest of data separated by `~` are not a concern for my case.

I have to find out line item in `GroupKey`. If match found then replace xfundcode with new xfundcode in xml and update the whole xml in table column.

I will create a stored procedure where I will send line item and xfundcode both.

This is my code and I am weak in XQuery that is why I could not do what I am trying to achieve.


    DECLARE @xml xml
    DECLARE @li varchar(max) =&#39;Segment Detail&#39;
    DECLARE @newXfundCode varchar(max) =&#39;TEST&#39;
    
    CREATE TABLE #tmpData (id INT, xmldata xml)  
    
    INSERT INTO #tmpData (id, xmldata) 
    VALUES (1,N&#39;&lt;?xml version=&quot;1.0&quot; encoding=&quot;utf-16&quot;?&gt;
    &lt;PWR_ViewAll&gt;
    &lt;dgvViewAll_Vertical&gt;
      &lt;Section_x0020_&gt;ZB-P1&lt;/Section_x0020_&gt;
      &lt;LineItem&gt;B. Riley FBR Inc.&lt;/LineItem&gt;
      &lt;Revise_x0020_Date&gt;08-21-2020&lt;/Revise_x0020_Date&gt;
      &lt;GroupKey&gt;Consensus Model~Total Revenue~TRIN~NBM~~1~ZB-P1&lt;/GroupKey&gt;
    &lt;/dgvViewAll_Vertical&gt;
    &lt;dgvViewAll_Vertical&gt;
      &lt;Section_x0020_&gt;CL&lt;/Section_x0020_&gt;
      &lt;LineItem&gt;Deutsche Bank&lt;/LineItem&gt;
      &lt;Revise_x0020_Date&gt;02-28-2020&lt;/Revise_x0020_Date&gt;
      &lt;GroupKey&gt;Segment Detail~Total Revenue~TEST~NBM~~1~CL&lt;/GroupKey&gt;
    &lt;/dgvViewAll_Vertical&gt;
    &lt;/PWR_ViewAll&gt;&#39;)
    
    SELECT @xml=xmldata from #tmpData where ID=1
    
    
    SELECT col.value(&#39;(GroupKey/text())[1]&#39;, &#39;VARCHAR(MAX)&#39;)
    FROM @xml.nodes(&#39;/PWR_ViewAll/dgvViewAll_Vertical&#39;) AS tab (col)
    WHERE  CHARINDEX(@li, col.value(&#39;(GroupKey/text())[1]&#39;, &#39;VARCHAR(MAX)&#39;))&gt;0 
    
    Drop table #tmpData

    
I post the question in **Microsoft QA** and i got an answer. the answer i could not understand because i am weak in XQuery. Hence i do not understand the answer that why i am posting the same issue in SO.
    
I also like to post the answer received from [@yitzhakkhabinsky-0887][1]

Answer is below which i got from **Microsoft QA**

    DECLARE @xml XML
    , @li VARCHAR(MAX) =&#39;Segment Detail&#39;
    , @newXfundCode VARCHAR(MAX) =&#39;newXfundCode&#39;
    , @separator CHAR(1) = &#39;~&#39;;
    
    DECLARE @tmpData TABLE (id INT, xmldata XML);  
    
    INSERT INTO @tmpData(id, xmldata) VALUES 
    (1, N&#39;&lt;PWR_ViewAll&gt;
    &lt;dgvViewAll_Vertical&gt;
    &lt;Section_x0020_&gt;ZB-P1&lt;/Section_x0020_&gt;
    &lt;LineItem&gt;B. Riley FBR Inc.&lt;/LineItem&gt;
    &lt;Revise_x0020_Date&gt;08-21-2020&lt;/Revise_x0020_Date&gt;
    &lt;GroupKey&gt;Consensus Model~Total Revenue~TRIN~NBM~~1~ZB-P1&lt;/GroupKey&gt;
    &lt;/dgvViewAll_Vertical&gt;
    &lt;dgvViewAll_Vertical&gt;
    &lt;Section_x0020_&gt;CL&lt;/Section_x0020_&gt;
    &lt;LineItem&gt;Deutsche Bank&lt;/LineItem&gt;
    &lt;Revise_x0020_Date&gt;02-28-2020&lt;/Revise_x0020_Date&gt;
    &lt;GroupKey&gt;Segment Detail~Total Revenue~WOW~NBM~~1~CL&lt;/GroupKey&gt;
    &lt;/dgvViewAll_Vertical&gt;
    &lt;/PWR_ViewAll&gt;&#39;);
    
    SET @xml= (SELECT xmldata FROM @tmpData WHERE ID=1);
    
    ;WITH rs AS
    (
    SELECT col.value(&#39;(GroupKey/text())[1]&#39;, &#39;VARCHAR(MAX)&#39;) AS [Before]
    FROM @xml.nodes(&#39;/PWR_ViewAll/dgvViewAll_Vertical&#39;) AS tab (col)
    --WHERE  CHARINDEX(@li, col.value(&#39;(GroupKey/text())[1]&#39;, &#39;VARCHAR(MAX)&#39;)) &gt; 0
    )
    SELECT *, REPLACE(TRY_CAST(&#39;&lt;root&gt;&lt;r&gt;&#39; + 
    REPLACE([before], @separator, &#39;&lt;/r&gt;&lt;r&gt;&#39;) + 
    &#39;&lt;/r&gt;&lt;/root&gt;&#39; AS XML).query(&#39;&lt;root&gt;
    {
    for $x in /root/r
    let $pos := count(/root/r[. &lt;&lt; $x[1]]) + 1
    return if ($pos=3 and root/*[position() = 2 and ./text()=&quot;Total Revenue&quot;]) then &lt;r&gt;{sql:variable(&quot;@newXfundCode&quot;)}&lt;/r&gt;
    else $x
    }
    &lt;/root&gt;&#39;).query(&#39;
    for $i in /root/r
    return if ($i is (/root/r[last()])[1]) then string($i)
    else concat($i, sql:variable(&quot;@separator&quot;))
    &#39;).value(&#39;.&#39;, &#39;NVARCHAR(MAX)&#39;),@separator + SPACE(1), @separator) AS [After]
    FROM rs;

**My request to all sql server expert** that please see my scenario and give me answer to find and update data in xml as a easy way which a sql server beginner can understand. 

Thanks

  [1]: https://docs.microsoft.com/en-us/users/yitzhakkhabinsky-0887/
",2020-11-13 19:34:19
7,How to log using NLog directly to Datadog,"Using Nlog to log from my asp.net Core application, I would like to review the logs in Datadog.

Datadog allows me to visualize the log data, and slice, search, select and sort logs in a convenient way to provide support to my customers. 

I was looking for a way to use NLog to directly post to the Datadog API, so I do not need to use the Windows Agent to collect the logs. 

Below how to do this, as I could not find the answer anywhere.",2020-11-15 18:43:14
8,"How to start a system &quot;beep&quot;, from the built-in pc speaker, using a batch file?","I have written a batch script in an interactive mode, for making some tasks.

Sometimes, These tasks takes a long time to be finished, and then the batch asks if the user wants to go on to the next task, or back to the Batch&#39;s Main Menu or... etc

Now, what I want to do, is to add an &quot;Interactive Alarm&quot; command, that sounds a small short beep (Ex: Like the one when we turn on our PCs), to alert the batch user for new questions .

I don&#39;t know if this is possible or not, but the most important thing for me, NOT to use a GUI application like WMP or so.. 
I just want to do this from the Background, even If that beep has to be made from the free speaker, or by using a Third-Party CLI Application (Btw, I&#39;ve Cygwin installed on my Win7-x64) .

Please note that, I will add that alarm command exactly before the interactive questions, waiting for user&#39;s answer to get to the next stage, so I can&#39;t just finish the batch, by making a real error beep ! 


So, would somebody please tell me how to do this ?

Appreciate your help :)
",2014-11-22 18:17:19
9,is there is any way to disable firebase account from code in android studio,"I&#39;m creating an application which is going to be active for first 30 days and after that the user should get automatically log out from application itself (as user&#39;s account will be deactivated), or is there is any workaround for the same because I can disable accounts from Firebase Console but that doesn&#39;t affect any user if they remains logged In. 

Mainly I wanted this for Android Studio, I can do the required method through Firebase Database itself but just wanted to know if there is any alternate method available.",2020-11-15 17:52:41
